Step,Value
4492,-0.124223724
4509,-0.218856499
4510,-0.241185665
4529,-0.14029178
4530,-0.177331507
4533,-0.217706874
4542,-0.152225569
4553,-0.253540516
4578,-0.244898602
4581,-0.150711074
4592,-0.149168551
4595,-0.260524333
4597,-0.222909778
4599,-0.064043827
4611,-0.057312179
4628,-0.211290553
4649,-0.249262765
4656,-0.258065999
4664,-0.248855978
4668,-0.204077929
4675,-0.218603656
4676,-0.156574011
4677,-0.212773219
4687,-0.210002318
4713,-0.190903082
4718,-0.240211055
4734,-0.267519593
4745,-0.117954776
4749,-0.232130185
4750,-0.140240222
4758,-0.150642127
4764,-0.191510066
4767,-0.217192397
4776,-0.021797402
4780,-0.265982777
4787,-0.132737234
4788,-0.174146399
4794,-0.0759762
4800,-0.124590486
4802,-0.246900439
4805,-0.198787913
4840,-0.214385748
4852,-0.059838504
4871,-0.231680408
4873,-0.170617983
4894,-0.115420721
4914,-0.219820276
4938,-0.053378239
4941,-0.26773262
4954,-0.26238215
4962,-0.202034086
4971,-0.228199109
4974,-0.216430515
4976,-0.212123141
4977,-0.147976995
5021,-0.207960978
5027,-0.200752005
5030,-0.126818538
5037,-0.185830235
5050,-0.221600503
5052,-0.123202547
5053,-0.210787654
5060,-0.250425249
5078,-0.186423406
5101,-0.219912112
5106,-0.213992119
5126,-0.026798351
5128,-0.217225909
5134,-0.180330679
5160,-0.200170547
5165,-0.148517266
5182,-0.170689598
5200,-0.212602407
5208,-0.261701226
5231,-0.129561946
5235,-0.257986456
5239,-0.233307466
5240,-0.178764999
5266,-0.218932629
5289,-0.258050948
5318,-0.118498437
5329,-0.080772348
5345,-0.095582776
5359,-0.253789157
5360,-0.165923923
5380,-0.196749419
5404,-0.175020173
5420,-0.056760911
5439,-0.145094678
5442,-0.241421625
5447,-0.224753767
5484,-0.099604964
5491,-0.272127718
5495,-0.228364259
5501,-0.150068983
5507,-0.147346362
5512,-0.229264334
5515,-0.192916051
5517,-0.253201246
5541,-0.218586668
5549,-0.183581159
5566,-0.078257546
5571,-0.214704186
5573,-0.221788064
5585,-0.17709665
5587,-0.18671149
5593,-0.184794113
5605,-0.120717235
5610,-0.241788968
5620,-0.137087941
5630,-0.188510269
5658,-0.113065541
5660,-0.246166974
5664,-0.123130687
5679,-0.351698637
5720,-0.135431111
5723,-0.196111351
5741,-0.078090891
5759,-0.237157509
5776,-0.2620821
5779,-0.223303705
5784,-0.17803891
5789,-0.198027655
5807,-0.14386034
5808,-0.216240332
5825,-0.074730292
5828,-0.108940065
5835,-0.22528711
5862,-0.188110411
5864,-0.078903869
5871,-0.063632302
5889,-0.17805934
5898,-0.127526432
5907,-0.226814553
5917,-0.252309263
5928,-0.203496575
5932,-0.196945399
5933,-0.211025447
5952,-0.226970658
5957,-0.222823888
5959,-0.205730245
5963,-0.188961327
5972,-0.233090878
5990,-0.2523911
6010,-0.17014727
6015,-0.193629488
6024,-0.212332875
6030,-0.154207751
6031,-0.194152907
6035,-0.230162382
6038,-0.290018231
6060,-0.201774761
6078,-0.186864465
6082,-0.233275369
6087,-0.149995625
6103,-0.206080228
6105,-0.246250033
6115,-0.16531451
6121,-0.245387211
6123,-0.209610179
6129,-0.183309495
6131,-0.220099762
6133,-0.097383924
6145,-0.257139087
6147,-0.305202544
6149,-0.205361471
6172,-0.115427554
6181,-0.153769538
6184,-0.12275029
6200,-0.209810004
6210,-0.168255284
6211,-0.299989045
6213,-0.224265516
6219,-0.282532871
6232,-0.21677959
6237,-0.145670772
6244,-0.186483875
6250,-0.301903695
6263,-0.108539455
6289,-0.25112462
6312,-0.284789741
6316,-0.209614679
6317,-0.056451127
6324,-0.257969141
6341,-0.289772421
6352,-0.223779589
6363,-0.1630494
6370,-0.149932817
6376,-0.272937655
6400,-0.251609653
6455,-0.163448155
6459,-0.196030825
6472,-0.179252207
6487,-0.188693658
6495,-0.284505278
6496,-0.206741259
6500,-0.255923331
6510,-0.233085737
6520,-0.154895499
6521,-0.202383593
6522,-0.115080878
6530,-0.125883415
6550,-0.255210638
6574,-0.152948305
6581,-0.256862551
6584,-0.162480712
6594,-0.191917554
6603,-0.302334756
6606,-0.205813438
6616,-0.279240906
6621,-0.182953343
6657,-0.234713614
6666,-0.259436727
6668,-0.180528343
6672,-0.097167924
6678,-0.162521631
6681,-0.153766632
6688,-0.173366472
6696,-0.226668522
6699,-0.247737586
6707,-0.288690358
6711,-0.276861817
6715,-0.140367091
6738,-0.171365187
6742,-0.181104943
6749,-0.167025715
6753,-0.22501719
6764,-0.283111215
6776,-0.238259852
6792,-0.255580962
6817,-0.16174984
6832,-0.251596928
6846,-0.098242924
6854,-0.261296064
6862,-0.211010695
6868,-0.168587208
6869,-0.184566632
6895,-0.216517031
6909,-0.080036528
6934,-0.322619766
6951,-0.196215764
6963,-0.148451164
6966,-0.114223212
6972,-0.248487204
6990,-0.1299036
6992,-0.208391979
7010,-0.170500323
7014,-0.246658817
7035,-0.134665832
7039,-0.21574387
7046,-0.049519107
7059,-0.241247609
7065,-0.278884709
7079,-0.162871167
7091,-0.092337765
7106,-0.242597416
7114,-0.236017063
7115,-0.229789943
7137,-0.213620409
7141,-0.258563489
7155,-0.178542212
7167,-0.223753765
7168,-0.270709515
7175,-0.176644847
7189,-0.174569577
7195,-0.199479356
7202,-0.246511489
7204,-0.290515989
7213,-0.258420169
7215,-0.23040688
7216,-0.117235735
7235,-0.159340724
7238,-0.108764835
7247,-0.237724066
7260,-0.15544109
7284,-0.265372097
7300,-0.118348293
7311,-0.275900841
7329,-0.208558723
7339,-0.235894576
7340,-0.214537248
7346,-0.19446674
7353,-0.130693719
7357,-0.256060302
7358,-0.241957232
7359,-0.230986953
7381,-0.232177123
7382,-0.269910216
7386,-0.240021572
7388,-0.23385863
7397,-0.046768449
7401,-0.131107748
7430,-0.283533812
7431,-0.125387475
7440,-0.188589096
7443,-0.250913084
7450,-0.314147055
7460,-0.190189481
7461,-0.117545389
7463,-0.271904558
7468,-0.196272641
7474,-0.266832352
7478,-0.266345888
7480,-0.028358486
7496,-0.199969724
7502,-0.066761166
7503,-0.268188775
7511,-0.201218665
7530,-0.171587184
7547,-0.327801496
7573,-0.216233894
7596,-0.212901473
7609,-0.204540133
7612,-0.077875584
7643,-0.21123901
7644,-0.300183028
7660,-0.278766453
7661,-0.24268201
7671,-0.186117202
7674,-0.206948102
7676,-0.052908488
7687,-0.049177781
7693,-0.131237
7696,-0.044199195
7700,-0.20953697
7718,-0.173293814
7719,-0.160554484
7723,-0.248764098
7726,-0.094069295
7728,-0.184540361
7742,-0.100442581
7746,-0.233633429
7757,-0.205859706
7760,-0.193494096
7780,-0.129506066
7788,-0.214334369
7798,-0.280692369
7799,-0.186667174
7810,-0.283777714
7833,-0.243068293
7838,-0.233609974
7855,-0.10370481
7899,-0.211318195
7900,-0.17917715
7904,-0.203891501
7908,-0.17956391
7926,-0.189810202
7932,-0.213778764
7975,-0.226770416
7983,-0.14337568
7991,-0.242625803
7992,-0.232567474
8009,-0.132381842
8022,-0.323757857
8026,-0.256961465
8037,-0.172208607
8049,-0.321925104
8052,-0.213409483
8054,-0.180104196
8058,-0.166190565
8066,-0.221390396
8126,-0.178682685
8132,-0.244737893
8133,-0.266153783
8150,-0.239491433
8157,-0.230332047
8180,-0.260652959
8184,-0.265402496
8195,-0.213297367
8198,-0.196967959
8215,-0.182856619
8221,-0.267255902
8234,-0.198421568
8254,-0.224214435
8263,-0.279051214
8279,-0.220083639
8281,-0.183940738
8290,-0.101558797
8299,-0.194496408
8307,-0.268079638
8327,-0.276897341
8329,-0.256472409
8332,-0.253220916
8334,-0.213276669
8340,-0.222502649
8352,-0.242261142
8353,-0.188358128
8360,-0.219693825
8363,-0.204659969
8368,-0.292032629
8375,-0.247501448
8377,-0.195842266
8428,-0.292731375
8439,-0.264000028
8442,-0.217551157
8447,-0.184140399
8463,-0.274641305
8467,-0.26866886
8468,-0.204588428
8470,-0.207266793
8480,-0.195898816
8484,-0.103380099
8488,-0.167528138
8497,-0.21196574
8498,-0.152497411
8503,-0.133850142
8507,-0.223039702
8508,-0.240190938
8523,-0.235942632
8554,-0.212895572
8566,-0.178968832
8573,-0.25155732
8578,-0.273659945
8592,-0.308897287
8601,-0.308326542
8616,-0.103459373
8627,-0.203810081
8634,-0.20717372
8635,-0.023820667
8644,-0.229699582
8682,-0.325283736
8685,-0.308401704
8687,-0.253402859
8690,-0.114842921
8691,-0.236154646
8695,-0.295263737
8727,-0.25351119
8741,-0.241028577
8768,-0.200848386
8774,-0.258910328
8778,-0.079595529
8796,-0.106961511
8801,-0.141180784
8816,-0.170484602
8819,-0.141187936
8822,-0.124317914
8843,-0.212143317
8854,-0.262832433
8867,-0.136891484
8868,-0.26659292
8878,-0.309663683
8881,-0.270115435
8885,-0.26523307
8902,-0.227910072
8904,-0.186156631
8907,-0.296361059
8928,-0.277029514
8930,-0.227870241
8935,-0.248004124
8946,-0.229607746
8954,-0.244589671
8958,-0.190015137
8975,-0.174794629
8981,-0.152731299
8991,-0.306480408
8993,-0.159126505
8999,-0.226227641
9004,-0.132962406
9009,-0.254796207
9012,-0.205864787
9027,-0.096493781
9028,-0.269981235
9055,-0.257810891
9063,-0.187505856
9073,-0.215100884
9084,-0.194827244
9105,-0.228461176
9122,-0.270998687
9123,-0.24953419
9155,-0.194785446
9156,-0.032175362
9162,-0.135895178
9214,-0.137349576
9216,-0.193640113
9223,-0.168070793
9226,-0.239063337
9233,-0.17579098
9260,-0.260335922
9281,-0.151230529
9291,-0.244651467
9307,-0.188417673
9309,-0.158689022
9311,-0.209039479
9316,-0.11799062
9348,-0.231454223
9353,-0.129495889
9364,-0.229591593
9365,-0.160383791
9366,-0.235882714
9369,-0.200730443
9385,-0.107296079
9412,-0.208766893
9415,-0.226630837
9435,-0.239520028
9441,-0.255171299
9442,-0.15782772
9468,-0.134903714
9475,-0.242348135
9482,-0.228801101
9515,-0.148139402
9518,-0.116697095
9537,-0.19148697
9538,-0.204425976
9547,-0.206539929
9554,-0.254206061
9557,-0.215662733
9564,-0.189103544
9567,-0.237848178
9586,-0.099667162
9589,-0.25703299
9600,-0.183351651
9611,-0.29080677
9621,-0.205047339
9623,-0.186685175
9624,-0.250830084
9627,-0.219353601
